@relation emotion

@attribute COSINE0 numeric
@attribute COSINE1 numeric
@attribute COSINE2 numeric
@attribute COSINE3 numeric
@attribute COSINE4 numeric
@attribute COSINE5 numeric
@attribute COSINE6 numeric
@attribute COSINE7 numeric
@attribute COSINE8 numeric
@attribute COSINE9 numeric
@attribute COSINE10 numeric
@attribute COSINE11 numeric
@attribute COSINE12 numeric
@attribute COSINE13 numeric
@attribute COSINE14 numeric
@attribute COSINE15 numeric
@attribute COSINE16 numeric
@attribute COSINE17 numeric
@attribute COSINE18 numeric
@attribute COSINE19 numeric
@attribute COSINE20 numeric
@attribute COSINE21 numeric
@attribute COSINE22 numeric
@attribute COSINE23 numeric
@attribute COSINE24 numeric
@attribute COSINE25 numeric
@attribute COSINE26 numeric
@attribute COSINE27 numeric
@attribute COSINE28 numeric
@attribute COSINE29 numeric
@attribute COSINE30 numeric
@attribute COSINE31 numeric
@attribute COSINE32 numeric
@attribute COSINE33 numeric
@attribute COSINE34 numeric
@attribute COSINE35 numeric
@attribute COSINE36 numeric
@attribute COSINE37 numeric
@attribute COSINE38 numeric
@attribute COSINE39 numeric
@attribute COSINE40 numeric
@attribute COSINE41 numeric
@attribute COSINE42 numeric
@attribute COSINE43 numeric
@attribute COSINE44 numeric
@attribute COSINE45 numeric
@attribute COSINE46 numeric
@attribute COSINE47 numeric
@attribute COSINE48 numeric
@attribute COSINE49 numeric
@attribute COSINE50 numeric
@attribute COSINE51 numeric
@attribute COSINE52 numeric
@attribute COSINE53 numeric
@attribute emotion_class {anger,contempt,disgust,fear,happiness,neutral,sadness,surprise}

@data
0.955083,-0.846535,0.966262,0.934479,-0.838539,0.977571,0.273126,0.452521,0.734252,0.707107,0.682318,0.034462,0.802302,0.949758,-0.575167,0.966458,-0.859895,0.962154,0.785927,-0.537062,0.94367,0.303725,0.706555,0.45963,0.929524,0.971344,-0.81524,0.998388,0.011363,0.045408,0.604597,0.810865,-0.024089,0.624695,-0.066519,0.820693,0.313195,0.266586,0.831827,0.6,0.8,0,0.55769,0.083045,0.780869,0.998364,0.06576,-0.008596,0.97032,-0.882382,0.96998,0.956326,0.960588,-0.837382,anger
0.944591,-0.808445,0.956849,0.905035,-0.760591,0.964504,0.451275,0.40638,0.631987,0.619009,0.630866,0.218861,0.820019,0.915217,-0.519866,0.955453,-0.808631,0.946247,0.828675,-0.533688,0.915607,0.431732,0.653652,0.400429,0.940788,0.977919,-0.849171,0.998565,-0.191017,0.243306,0.526355,0.789352,0.106533,0.562965,-0.08663,0.872143,0.303204,0.263117,0.83957,0.529999,0.879407,-0.062378,0.490261,0.062378,0.839297,0.99815,-0.238788,0.297384,0.989778,-0.960418,0.990328,0.962976,0.967755,-0.864018,anger
0.972513,-0.901697,0.977588,0.969739,-0.914795,0.985727,0.287465,0.484014,0.698988,0.503752,0.441635,0.552566,0.89623,0.940523,-0.692225,0.962964,-0.839395,0.954857,0.830084,-0.576384,0.934138,0.33083,0.735205,0.396448,0.976305,0.990058,-0.936161,0.997727,-0.092346,0.159232,0.573694,0.737745,0.129697,0.693291,-0.129697,0.804489,0.31315,0.313861,0.803429,0.641761,0.774899,-0.012551,0.630226,0.012551,0.768441,0.998482,-0.13922,0.193549,0.982534,-0.921892,0.977887,0.972157,0.968992,-0.884112,anger
0.955806,-0.844433,0.964597,0.955074,-0.887217,0.984088,0.340136,0.424434,0.707107,0.659862,0.613081,0.189062,0.822024,0.926467,-0.547249,0.960179,-0.831529,0.95361,0.876962,-0.644116,0.932459,0.410761,0.612594,0.46901,0.932831,0.973594,-0.825944,0.997967,-0.180931,0.243239,0.566529,0.787098,0.062378,0.630593,-0.062378,0.813938,0.289005,0.337911,0.803358,0.60745,0.828658,-0.058722,0.536875,0.135113,0.763386,0.99846,-0.124035,0.178885,0.968949,-0.884265,0.972274,0.987449,0.986997,-0.949223,anger
0.951967,-0.832874,0.962339,0.915544,-0.757471,0.956094,0.45168,0.38478,0.649692,0.562478,0.560371,0.369603,0.816053,0.930652,-0.547976,0.959773,-0.822684,0.949211,0.823713,-0.537147,0.920719,0.507985,0.630343,0.348488,0.922436,0.953654,-0.763492,0.997976,-0.313289,0.373039,0.617822,0.691042,0.141421,0.707107,-0.141421,0.8,0.263004,0.254857,0.865907,0.726079,0.806405,-0.178885,0.645942,0.083045,0.707107,0.998459,-0.327389,0.379313,0.980581,-0.923077,0.980581,0.949997,0.946617,-0.798622,anger
0.962987,-0.874883,0.973052,0.977301,-0.933401,0.988234,0.25499,0.404698,0.781028,0.689777,0.80596,-0.127333,0.876938,0.961782,-0.711827,0.967419,-0.865116,0.963918,0.766758,-0.517116,0.945946,0.305935,0.764791,0.37941,0.968656,0.983441,-0.907598,0.997587,-0.19649,0.264089,0.543251,0.870022,-0.058722,0.6,-0.083045,0.847064,0.311673,0.351047,0.780305,0.5547,0.857493,-0.047565,0.496139,0.141421,0.789352,0.998473,-0.079319,0.134257,0.991809,-0.967489,0.991869,0.963298,0.966579,-0.862286,anger
0.957724,-0.850843,0.96603,0.972136,-0.914139,0.9837,0.400607,0.313717,0.744317,0.738956,0.612173,0.080384,0.809496,0.934115,-0.546574,0.965814,-0.855679,0.960584,0.823213,-0.6,0.948114,0.34607,0.734959,0.381863,0.966142,0.980939,-0.897591,0.997946,-0.271729,0.33282,0.606211,0.737154,0.090536,0.686474,-0.090536,0.786318,0.351258,0.315111,0.777895,0.694595,0.787056,-0.102899,0.599022,0.022895,0.786809,0.998609,-0.407617,0.455189,0.987978,-0.949169,0.98642,0.933576,0.931026,-0.738392,anger
0.943312,-0.804663,0.956112,0.95383,-0.865372,0.97593,0.459098,0.331384,0.68605,0.705929,0.677162,0.043149,0.826323,0.92997,-0.561404,0.958657,-0.820835,0.949433,0.863662,-0.64567,0.942557,0.420109,0.674683,0.386373,0.957338,0.977336,-0.874468,0.99746,-0.346223,0.412168,0.447214,0.894427,-0,0.503871,0,0.863779,0.326191,0.372125,0.75603,0.503871,0.863779,0,0.412168,0.141421,0.843661,0.997446,-0.283346,0.351123,0.946535,-0.799207,0.950379,0.91888,0.922483,-0.695344,anger
0.926302,-0.75133,0.944607,0.968611,-0.919843,0.988485,0.370961,0.357972,0.734315,0.671097,0.705425,0.052062,0.802946,0.94708,-0.569122,0.95851,-0.823213,0.950895,0.892862,-0.731055,0.96,0.342836,0.674269,0.462566,0.955866,0.979134,-0.876216,0.997643,-0.189286,0.256213,0.633238,0.773957,0,0.684675,-0.110432,0.8,0.245027,0.348909,0.823097,0.6,0.847064,-0.083045,0.503871,0.083045,0.818951,0.997813,-0.294915,0.357433,0.97652,-0.914719,0.980293,0.916104,0.933381,-0.711182,anger
0.958583,-0.860662,0.970036,0.940946,-0.835941,0.972382,0.371855,0.417971,0.687891,0.73994,0.73994,-0.095023,0.867431,0.943128,-0.652695,0.969891,-0.878853,0.968583,0.918168,-0.770138,0.959837,0.366913,0.568983,0.556227,0.912382,0.954072,-0.74785,0.998749,0.120331,-0.070531,0.557836,0.864674,-0.065433,0.551987,0.042216,0.809807,0.304654,0.316942,0.806801,0.536875,0.843661,-0,0.478852,0,0.877896,0.999264,0.33379,-0.297384,0.950507,-0.826288,0.960395,0.983614,0.985716,-0.939202,anger
0.918721,-0.708932,0.929829,0.97052,-0.911716,0.983855,0.543122,0.306124,0.633081,0.537853,0.466138,0.495133,0.859738,0.926444,-0.604241,0.940849,-0.742699,0.925655,0.871539,-0.628513,0.929149,0.527008,0.602139,0.361189,0.941678,0.971419,-0.834886,0.997225,-0.234641,0.306363,0.4741,0.841516,0.076696,0.56921,-0.076696,0.863427,0.335519,0.266596,0.818492,0.609711,0.876118,-0.152057,0.4741,0.152057,0.798142,0.99849,-0.229039,0.282166,0.973172,-0.88813,0.970046,0.91402,0.890296,-0.629013,anger
0.950317,-0.833397,0.96403,0.96488,-0.910048,0.986973,0.290875,0.458785,0.716679,0.563667,0.662366,0.245471,0.887916,0.954726,-0.710871,0.950725,-0.776617,0.933663,0.879226,-0.71127,0.960241,0.320052,0.712243,0.437057,0.966579,0.988081,-0.915595,0.997984,-0.208779,0.270432,0.328012,0.877896,0.164399,0.503871,0,0.863779,0.309381,0.308522,0.809098,0.390874,0.885332,0.081916,0.543251,-0.058722,0.870022,0.998611,-0.242536,0.293322,0.978053,-0.913614,0.978277,0.952562,0.956151,-0.821659,anger
0.959867,-0.865893,0.971435,0.966245,-0.889275,0.977088,0.452907,0.29177,0.72062,0.710023,0.636716,0.090908,0.85643,0.933145,-0.613577,0.97047,-0.873226,0.964991,0.862286,-0.64222,0.94196,0.378016,0.710539,0.38285,0.967172,0.9797,-0.896593,0.998807,-0.351123,0.396436,0.413803,0.869164,0.090536,0.588172,-0.090536,0.858665,0.271334,0.281117,0.847395,0.562624,0.907959,-0.164399,0.412168,0.141421,0.843661,0.998263,-0.247383,0.30404,0.992169,-0.972427,0.993941,0.943282,0.944483,-0.781833,anger
0.94403,-0.805818,0.956047,0.987158,-0.96282,0.99361,0.374463,0.343193,0.742413,0.405662,0.577763,0.511654,0.857787,0.942306,-0.636234,0.967197,-0.864501,0.963825,0.914414,-0.743844,0.950718,0.31301,0.654995,0.512642,0.97176,0.986819,-0.920765,0.997382,0.007246,0.065079,0.64131,0.717428,0.07442,0.734803,-0.164399,0.789852,0.332416,0.351253,0.766275,0.763386,0.763386,-0.165517,0.640184,0.083045,0.712403,0.99732,0.04026,0.032949,0.886908,-0.562624,0.880893,0.974391,0.972082,-0.894427,anger
0.942456,-0.789736,0.949385,0.956996,-0.876411,0.978424,0.531135,0.356923,0.601905,0.544988,0.544988,0.405975,0.868726,0.904449,-0.574435,0.942392,-0.74725,0.926499,0.811863,-0.430389,0.876423,0.573462,0.668965,0.225304,0.967865,0.984042,-0.907674,0.997744,-0.263976,0.328135,0.654931,0.71045,0.066519,0.707107,-0.066519,0.752577,0.355101,0.276633,0.800114,0.752577,0.71045,-0.071247,0.707107,-0,0.707107,0.998174,-0.121174,0.180911,0.980009,-0.912921,0.975871,0.971688,0.965361,-0.876385,anger
